year_month,avg_rating,n_ratings,n_users,n_movies
2005-04,3.4311461,6492,1646,2318
2005-05,3.3961174,4765,1258,1894
2005-06,3.4275215,4422,1251,1941
2005-07,3.4234853,3862,1109,1822
2005-08,3.4355507,3142,962,1610
2005-09,3.4810183,3319,1004,1631
2005-10,3.4836905,3127,974,1566
2005-11,3.4736297,3375,1026,1632
2005-12,3.4612155,2978,978,1501
2006-01,3.4754877,3896,1210,1769
2006-02,3.5130465,2951,1028,1422
2006-03,3.4599433,3520,1049,1717
2006-04,3.4451685,3146,944,1619
2006-05,3.4579313,2591,835,1409
2006-06,3.4148977,2591,830,1407
2006-07,3.4244792,3264,964,1614
2006-08,3.465847,2562,878,1343
2006-09,3.4881923,2329,787,1147
2006-10,3.5279038,2867,910,1376
2006-11,3.4348605,2510,841,1279
2006-12,3.4078014,3384,1063,1646
2007-01,3.4357102,3562,1104,1620
2007-02,3.4923546,3270,1055,1577
2007-03,3.4156837,3137,990,1554
2007-04,3.5151274,2512,839,1337
2007-05,3.470425,2519,845,1352
2007-06,3.4396403,2891,894,1533
2007-07,3.4536152,2932,876,1518
2007-08,3.4372318,1864,658,1186
2007-09,3.5451245,1928,710,1118
2007-10,3.4553852,2544,791,1437
2007-11,3.4692307,2470,797,1401
2007-12,3.4869294,2716,823,1489
2008-01,3.5368314,3421,1134,1560
2008-02,3.4951692,2691,928,1405
2008-03,3.468357,2465,943,1340
2008-04,3.5492861,2171,801,1233
2008-05,3.443259,2062,761,1226
2008-06,3.4780793,2395,862,1328
2008-07,3.5051806,2992,950,1559
2008-08,3.5562937,2709,934,1482
2008-09,3.5010743,2327,756,1375
2008-10,3.574273,5022,1619,1820
2008-11,3.5686464,4108,1309,1771
2008-12,3.4953108,2879,1030,1556
2009-01,3.4442716,3535,1255,1808
2009-02,3.4928296,2580,949,1456
2009-03,3.5150704,2986,1082,1621
2009-04,3.4704192,2434,896,1473
2009-05,3.513378,2392,924,1405
2009-06,3.5289366,2229,904,1333
2009-07,3.463232,2203,860,1337
2009-08,3.4937778,2250,834,1418
2009-09,3.5082886,2051,793,1289
2009-10,3.5344005,2093,800,1325
2009-11,3.5134933,2001,819,1244
2009-12,3.4978714,2114,788,1341
2010-01,3.534804,2629,1052,1447
2010-02,3.5217054,1935,776,1268
2010-03,3.3588858,2172,905,1386
2010-04,3.5036128,2076,865,1268
2010-05,3.4636805,2065,865,1284
2010-06,3.521422,2124,814,1384
2010-07,3.5479627,2356,964,1415
2010-08,3.523384,2630,993,1546
2010-09,3.5382478,3059,1153,1629
2010-10,3.5141685,2682,971,1501
2010-11,3.4921129,2409,947,1410
2010-12,3.5742347,2189,962,1326
2011-01,3.5211682,2551,1021,1485
2011-02,3.5182393,2056,903,1277
2011-03,3.5604918,2521,1086,1495
2011-04,3.5818844,2473,982,1521
2011-05,3.5172029,2238,894,1397
2011-06,3.5966172,1951,802,1236
2011-07,3.4687817,1970,817,1303
2011-08,3.531455,1828,800,1251
2011-09,3.574868,1703,728,1165
2011-10,3.5505686,1671,753,1116
2011-11,3.4837976,1759,740,1197
2011-12,3.531604,1677,752,1139
2012-01,3.5376205,1555,669,1115
2012-02,3.551119,1966,806,1318
2012-03,3.5899894,1878,755,1208
2012-04,3.5015488,1937,772,1273
2012-05,3.6563854,2999,1208,1611
2012-06,3.6331077,1773,757,1133
2012-07,3.6518655,1903,770,1206
2012-08,3.6603348,1553,661,1040
2012-09,3.5864272,1643,667,1137
2012-10,3.5894918,1732,739,1153
2012-11,3.5506792,1914,740,1222
2012-12,3.5580564,1955,787,1266
2013-01,3.6047785,2009,761,1335
2013-02,3.6251507,1658,660,1115
2013-03,3.6601663,1564,670,1069
2013-04,3.541715,1726,671,1153
2013-05,3.6484787,1512,621,1050
2013-06,3.598272,1389,576,988
2013-07,3.6629555,1482,626,997
2013-08,3.6339421,1314,551,919
2013-09,3.6645508,2048,866,1203
2013-10,3.6413522,1139,553,831
2013-11,3.6605136,1246,604,910
2013-12,3.6923945,1328,620,932
2014-01,3.6143885,1390,657,945
2014-02,3.6570895,1340,607,911
2014-03,3.5972834,1362,607,947
2014-04,3.534846,1234,514,900
2014-05,3.6095238,1260,566,900
2014-06,3.5599668,1209,480,884
2014-07,3.6788054,1222,494,895
2014-08,3.6394944,1147,543,845
2014-09,3.6107213,998,455,754
2014-10,3.6613333,1125,518,843
2014-11,3.5761905,2205,833,1192
2014-12,3.548775,2245,789,1286
2015-01,3.5092592,3078,938,1687
2015-02,3.555897,2603,897,1462
2015-03,3.547674,2601,881,1434
2015-04,3.6094544,2951,1004,1478
2015-05,3.5744946,3215,1092,1609
2015-06,3.5038474,3379,1071,1735
2015-07,3.5353866,5341,1490,2306
2015-08,3.5909917,6594,2065,2379
2015-09,3.5746875,5041,1514,2148
2015-10,3.5309162,5806,1757,2392
2015-11,3.6846206,8986,2585,2692
2015-12,3.5526938,5494,1668,2397
2016-01,3.532827,5727,1760,2367
2016-02,3.5774713,5402,1655,2346
2016-03,3.4696102,5413,1502,2269
2016-04,3.5871577,5513,1484,2155
2016-05,3.5032637,6281,1593,2619
2016-06,3.4084024,4951,1341,2248
2016-07,3.547003,4638,1381,2013
2016-08,3.5728652,4872,1356,2149
2016-09,3.5845296,4040,1225,1885
2016-10,3.571612,3896,1169,1976
2016-11,3.6077023,3895,1128,1881
2016-12,3.6263447,4369,1294,1995
2017-01,3.5732775,5602,1620,2314
2017-02,3.5659583,5223,1456,2385
2017-03,3.5517967,5232,1455,2224
2017-04,3.6153579,4317,1281,2071
2017-05,3.591674,5585,1403,2520
2017-06,3.5212092,4267,1188,2159
2017-07,3.5783699,5423,1416,2535
2017-08,3.6010163,4133,1255,2052
2017-09,3.5013769,4358,1229,2090
2017-10,3.5760896,4245,1265,2011
2017-11,3.5377257,3711,1108,1934
2017-12,3.532163,3731,1142,1946
2018-01,3.5643291,3622,1129,1856
2018-02,3.6600065,3103,1139,1630
2018-03,3.5598853,4183,1457,2115
2018-04,3.5457714,3299,1112,1887
2018-05,3.5677168,3079,1006,1749
2018-06,3.5964413,2810,950,1538
2018-07,3.5852225,3573,1116,1935
2018-08,3.5624828,3665,1056,2020
2018-09,3.4562793,3408,994,1893
2018-10,3.5711393,3704,1135,1823
2018-11,3.603021,3873,1198,1839
2018-12,3.6298015,4634,1314,2272
2019-01,3.6148508,4754,1368,2309
2019-02,3.5971997,3714,1130,1935
2019-03,3.5808787,4006,1130,2059
2019-04,3.5262096,3720,991,2040
2019-05,3.6536381,4068,1058,2231
2019-06,3.5722678,2809,871,1657
2019-07,3.6272113,3109,981,1760
2019-08,3.5187778,3355,1012,1815
2019-09,3.6051502,4194,1122,2156
2019-10,3.5733464,3054,937,1727
2019-11,3.5781298,3251,974,1854
2019-12,3.586942,3002,989,1727
2020-01,3.6433487,3924,1156,2071
2020-02,3.5849297,3132,1040,1676
2020-03,3.6086426,4501,1345,2205
2020-04,3.6508029,6041,1686,2637
2020-05,3.6471055,5683,1633,2482
2020-06,3.6264558,3950,1262,2000
2020-07,3.5387735,4191,1221,2106
2020-08,3.5668266,4377,1278,2246
2020-09,3.6506376,3764,1175,1914
2020-10,3.5187654,4423,1260,2257
2020-11,3.6322472,4174,1251,2145
2020-12,3.648814,4089,1324,2077
2021-01,3.6181488,4689,1442,2207
2021-02,3.6334374,4163,1187,2220
2021-03,3.5471404,3829,1223,2087
2021-04,3.6048775,3547,1182,1975
2021-05,3.6130435,3220,1087,1888
2021-06,3.654118,2829,941,1650
2021-07,3.589867,3010,962,1782
2021-08,3.6308205,3157,1046,1808
2021-09,3.5631597,2747,893,1737
2021-10,3.4838567,2261,817,1493
2021-11,3.5855384,2192,838,1402
2021-12,3.562044,2740,915,1786
2022-01,3.4669957,3242,1023,1978
2022-02,3.4538827,2743,836,1797
2022-03,3.502866,2268,804,1503
2022-04,3.6177425,2463,857,1586
2022-05,3.492116,1966,748,1305
2022-06,3.5171933,2152,729,1404
2022-07,3.501288,1941,780,1276
2022-08,3.5646203,2476,752,1561
2022-09,3.5417802,2202,740,1459
2022-10,3.5295644,1928,701,1342
2022-11,3.5774014,2332,776,1451
2022-12,3.5892448,2622,870,1649
2023-01,3.5930736,3003,1002,1726
2023-02,3.6548562,2399,843,1464
2023-03,3.5649245,2449,842,1614
2023-04,3.5704374,2378,808,1561
2023-05,3.5697525,2344,751,1529
2023-06,3.4985921,2131,746,1406
2023-07,3.5903373,1749,584,1257
