movieId,n_ratings,avg_rating,rating_std,median_rating,n_users,first_rated,last_rated,title,genres,release_year,title_clean,rating_span_days,weighted_rating,decade,movie_age
120807,22,4.2045455,0.868209582294436,4.5,22,2015-01-09 06:17:45,2020-11-18 10:32:08,John Mulaney: New In Town (2012),Comedy,2012.0,John Mulaney: New In Town,2140,,2010,11.0
1361,61,4.196721,0.8816588934341814,4.0,61,1996-12-12 00:06:50,2022-03-27 08:59:04,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary,1996.0,Paradise Lost: The Child Murders at Robin Hood Hills,9236,,1990,27.0
228099,29,4.1896553,0.7247387842655582,4.0,29,2020-11-10 21:44:33,2023-04-24 04:51:17,Firefly (2002),Action|Adventure|Sci-Fi|Western,2002.0,Firefly,894,,2000,21.0
7156,95,4.1894736,0.6022075849438812,4.0,95,2004-01-27 21:08:47,2021-12-04 01:20:15,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Documentary|War,2003.0,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The",6520,,2000,20.0
678,71,4.183099,0.8461654541844232,4.0,71,1997-04-18 05:50:31,2018-01-11 18:37:09,Some Folks Call It a Sling Blade (1993),Drama|Thriller,1993.0,Some Folks Call It a Sling Blade,7573,,1990,30.0
202749,52,4.1826925,1.0386116588883854,4.5,52,2019-12-19 19:45:28,2023-06-27 23:52:37,Portrait of a Lady on Fire (2019),Drama|Romance,2019.0,Portrait of a Lady on Fire,1286,,2010,4.0
205303,20,4.175,0.815555993753567,4.25,20,2019-08-22 16:14:54,2023-07-18 16:28:23,Sherlock: The Abominable Bride (2016),Crime|Drama|Mystery,2016.0,Sherlock: The Abominable Bride,1426,,2010,7.0
95654,53,4.1603775,0.8535761023801138,4.0,53,2013-08-28 13:07:03,2023-04-24 00:57:55,Geri's Game (1997),Animation|Children,1997.0,Geri's Game,3525,,1990,26.0
1900,32,4.15625,0.9019468191174737,4.0,32,1998-07-23 19:48:06,2021-05-01 18:58:59,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",Comedy|Drama,1997.0,"Children of Heaven, The (Bacheha-Ye Aseman)",8317,,1990,26.0
1446,62,4.153226,0.7923233612808007,4.0,62,1997-04-25 17:20:00,2022-01-11 07:48:58,Kolya (Kolja) (1996),Comedy|Drama,1996.0,Kolya (Kolja),9026,,1990,27.0
160718,61,4.139344,1.0959438380568884,4.5,61,2016-08-14 06:54:42,2022-12-25 20:08:48,Piper (2016),Animation,2016.0,Piper,2324,,2010,7.0
3077,33,4.1363635,0.7833494518006403,4.0,33,1999-11-27 20:38:19,2018-08-04 03:14:48,42 Up (1998),Documentary,1998.0,42 Up,6824,,1990,25.0
5888,20,4.125,0.7587212233336046,4.0,20,2005-12-04 22:43:38,2023-05-03 12:47:18,Brother (Brat) (1997),Crime|Drama,1997.0,Brother (Brat),6358,,1990,26.0
49772,47,4.117021,0.7746862335210498,4.0,47,2007-01-08 22:36:53,2020-12-07 22:03:16,"Painted Veil, The (2006)",Drama|Romance,2006.0,"Painted Veil, The",5081,,2000,17.0
1046,61,4.1065574,0.7589178375509469,4.0,61,1996-10-20 10:18:26,2022-06-13 08:32:21,Beautiful Thing (1996),Drama|Romance,1996.0,Beautiful Thing,9366,,1990,27.0
2843,54,4.101852,0.7972809312271257,4.25,54,1999-09-21 08:03:20,2022-09-30 22:08:44,"Black Cat, White Cat (Crna macka, beli macor) (1998)",Comedy|Romance,1998.0,"Black Cat, White Cat (Crna macka, beli macor)",8410,,1990,25.0
4783,20,4.1,1.1192102478745307,4.5,20,2001-12-31 22:53:01,2015-08-17 06:50:08,"Endurance: Shackleton's Legendary Antarctic Expedition, The (2000)",Documentary,2000.0,"Endurance: Shackleton's Legendary Antarctic Expedition, The",4976,,2000,23.0
112334,20,4.1,0.6805570473787206,4.0,20,2014-10-07 20:27:14,2023-03-18 12:23:09,"Internet's Own Boy: The Story of Aaron Swartz, The (2014)",Documentary,2014.0,"Internet's Own Boy: The Story of Aaron Swartz, The",3083,,2010,9.0
117444,57,4.0964913,1.0019561068730758,4.0,57,2015-07-02 18:15:46,2023-04-01 13:18:51,Song of the Sea (2014),Animation|Children|Fantasy,2014.0,Song of the Sea,2829,,2010,9.0
28,95,4.094737,0.8851455489224106,4.0,95,1996-03-30 06:30:15,2023-01-06 01:23:04,Persuasion (1995),Drama|Romance,1995.0,Persuasion,9777,,1990,28.0
219994,37,4.0945945,0.587341442408051,4.0,37,2021-04-05 10:09:58,2023-05-20 21:20:31,The Father (2020),Drama,2020.0,The Father,775,,2020,3.0
184721,28,4.089286,0.6390613983800546,4.0,28,2018-07-14 18:57:26,2023-07-07 17:53:00,First Reformed (2017),Drama|Thriller,2017.0,First Reformed,1818,,2010,6.0
168492,96,4.0833335,0.9505307843146503,4.0,96,2017-11-25 22:16:12,2023-03-29 17:10:47,Call Me by Your Name (2017),Drama|Romance,2017.0,Call Me by Your Name,1949,,2010,6.0
31364,90,4.0833335,0.7870082734456543,4.0,90,2006-10-26 11:35:59,2023-07-17 22:04:25,Memories of Murder (Salinui chueok) (2003),Crime|Drama|Mystery|Thriller,2003.0,Memories of Murder (Salinui chueok),6108,,2000,20.0
152970,99,4.080808,0.6377058319454978,4.0,99,2016-10-10 21:04:50,2023-07-18 22:31:01,Hunt for the Wilderpeople (2016),Adventure|Comedy,2016.0,Hunt for the Wilderpeople,2472,,2010,7.0
6216,25,4.08,0.6720615051218651,4.0,25,2003-05-17 22:32:16,2014-08-05 11:23:57,Nowhere in Africa (Nirgendwo in Afrika) (2001),Drama,2001.0,Nowhere in Africa (Nirgendwo in Afrika),4097,,2000,22.0
27156,52,4.076923,0.9771136736438188,4.0,52,2009-04-04 11:16:03,2023-06-04 08:23:17,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Action|Animation|Drama|Fantasy|Sci-Fi,1997.0,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni)",5173,,1990,26.0
9010,39,4.076923,0.7303429398006113,4.0,39,2005-01-05 02:38:38,2023-05-03 13:55:26,Love Me If You Dare (Jeux d'enfants) (2003),Drama|Romance,2003.0,Love Me If You Dare (Jeux d'enfants),6692,,2000,20.0
26865,20,4.075,0.6544382886752657,4.0,20,2005-03-22 05:09:40,2018-06-22 09:28:02,Fist of Legend (Jing wu ying xiong) (1994),Action|Drama,1994.0,Fist of Legend (Jing wu ying xiong),4840,,1990,29.0
1844,27,4.0740743,0.599738784544246,4.0,27,1999-11-07 14:36:18,2016-03-20 15:51:37,Live Flesh (Carne trémula) (1997),Drama|Romance,1997.0,Live Flesh (Carne trémula),5978,,1990,26.0
99764,27,4.0740743,1.0981076704223751,4.5,27,2015-04-09 23:33:31,2023-02-21 22:00:22,It's Such a Beautiful Day (2012),Animation|Comedy|Drama|Fantasy|Sci-Fi,2012.0,It's Such a Beautiful Day,2874,,2010,11.0
27846,56,4.071429,0.6426406561889879,4.0,56,2005-03-23 07:28:03,2022-08-25 03:23:08,"Corporation, The (2003)",Documentary,2003.0,"Corporation, The",6363,,2000,20.0
326,35,4.071429,1.037125957683463,4.0,35,1996-05-09 14:51:29,2020-07-04 07:37:22,To Live (Huozhe) (1994),Drama,1994.0,To Live (Huozhe),8821,,1990,29.0
2357,85,4.070588,0.7525865761637321,4.0,85,1998-12-25 20:38:57,2023-07-04 00:07:49,Central Station (Central do Brasil) (1998),Drama,1998.0,Central Station (Central do Brasil),8956,,1990,25.0
86345,59,4.0677967,1.0358139691126977,4.5,59,2011-04-30 09:03:54,2022-03-29 23:53:15,Louis C.K.: Hilarious (2010),Comedy,2010.0,Louis C.K.: Hilarious,3986,,2010,13.0
96488,37,4.0675673,0.7742573696610672,4.0,37,2012-12-17 15:46:48,2023-07-07 15:08:40,Searching for Sugar Man (2012),Documentary,2012.0,Searching for Sugar Man,3853,,2010,11.0
85774,69,4.0652175,0.8441539598487876,4.0,69,2011-08-08 16:27:27,2023-04-27 16:26:40,Senna (2010),Documentary,2010.0,Senna,4279,,2010,13.0
85342,56,4.0625,0.6109790950150868,4.0,56,2011-05-26 21:05:39,2022-04-11 02:37:22,Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010),Action|Crime|Drama,2010.0,Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro),3972,,2010,13.0
127152,34,4.0588236,0.4887322171042652,4.0,34,2015-04-10 17:51:56,2021-07-12 19:35:47,Going Clear: Scientology and the Prison of Belief (2015),Documentary,2015.0,Going Clear: Scientology and the Prison of Belief,2285,,2010,8.0
167832,52,4.0576925,0.8725320723013971,4.5,52,2017-07-29 11:16:26,2023-05-17 13:30:24,The Invisible Guest (2016),Thriller,2016.0,The Invisible Guest,2118,,2010,7.0
4967,72,4.0555553,0.7985707106879771,4.0,72,2002-02-14 18:24:32,2022-02-13 19:48:56,No Man's Land (2001),Drama|War,2001.0,No Man's Land,7304,,2000,22.0
97866,27,4.0555553,0.655352713801644,4.0,27,2012-12-24 09:27:44,2022-12-29 06:17:45,"Imposter, The (2012)",Documentary,2012.0,"Imposter, The",3656,,2010,11.0
100527,36,4.0555553,0.8347606823667469,4.0,36,2013-04-08 02:54:00,2022-10-08 18:51:50,Safe Haven (2013),Drama|Mystery|Romance,2013.0,Safe Haven,3470,,2010,10.0
103984,45,4.0555553,0.9955710000605762,4.0,45,2013-12-11 04:47:48,2022-11-06 04:04:21,"Great Beauty, The (Grande Bellezza, La) (2013)",Comedy|Drama,2013.0,"Great Beauty, The (Grande Bellezza, La)",3251,,2010,10.0
73808,28,4.053571,0.6984014248729382,4.0,28,2011-02-04 21:24:24,2023-07-17 17:19:49,"Chaser, The (Chugyeogja) (2008)",Crime|Drama|Thriller,2008.0,"Chaser, The (Chugyeogja)",4545,,2000,15.0
27803,56,4.053571,0.5774439872763057,4.0,56,2005-03-04 13:42:36,2022-10-06 12:26:28,"Sea Inside, The (Mar adentro) (2004)",Drama,2004.0,"Sea Inside, The (Mar adentro)",6424,,2000,19.0
116897,76,4.0526314,0.7419746058925965,4.0,76,2015-03-15 16:56:06,2023-06-13 17:23:05,Wild Tales (2014),Comedy|Drama|Thriller,2014.0,Wild Tales,3012,,2010,9.0
86781,78,4.051282,0.7878531720521411,4.0,78,2011-06-05 11:18:43,2023-05-16 12:14:51,Incendies (2010),Drama|Mystery|War,2010.0,Incendies,4363,,2010,13.0
33154,51,4.04902,0.680109564414325,4.0,51,2005-06-13 03:05:34,2023-04-23 13:21:16,Enron: The Smartest Guys in the Room (2005),Documentary,2005.0,Enron: The Smartest Guys in the Room,6523,,2000,18.0
1236,31,4.048387,0.6994621589678437,4.0,31,1996-10-30 07:59:48,2022-08-04 09:17:28,Trust (1990),Comedy|Drama|Romance,1990.0,Trust,9409,,1990,33.0
185927,21,4.047619,0.7890621316595086,4.0,21,2018-05-05 16:35:01,2023-05-05 04:08:20,Wild Wild Country (2018),Documentary,2018.0,Wild Wild Country,1825,,2010,5.0
140737,22,4.0454545,0.9500512631418383,4.25,22,2015-10-10 17:08:44,2023-04-03 12:17:01,The Lost Room (2006),Action|Fantasy|Mystery,2006.0,The Lost Room,2731,,2000,17.0
169906,33,4.0454545,0.9300843070291092,4.0,33,2017-04-09 17:09:15,2023-07-18 05:36:00,The Night Of (2016),Crime|Drama,2016.0,The Night Of,2290,,2010,7.0
131724,37,4.0405407,1.0696467380140717,4.5,37,2015-06-05 18:03:48,2022-05-26 09:15:32,The Jinx: The Life and Deaths of Robert Durst (2015),Documentary,2015.0,The Jinx: The Life and Deaths of Robert Durst,2546,,2010,8.0
2360,88,4.0397725,1.048319922732118,4.0,88,1998-12-17 18:23:06,2023-05-21 10:07:32,"Celebration, The (Festen) (1998)",Drama,1998.0,"Celebration, The (Festen)",8920,,1990,25.0
108983,27,4.037037,0.8979241650984824,4.0,27,2014-12-14 11:35:57,2022-06-29 19:28:34,La Luna (2011),Animation,2011.0,La Luna,2754,,2010,12.0
66371,43,4.0348835,1.0656729867687753,4.5,43,2009-08-09 21:51:00,2021-04-18 21:54:06,Departures (Okuribito) (2008),Drama,2008.0,Departures (Okuribito),4270,,2000,15.0
86892,29,4.034483,0.9056473068115287,4.0,29,2011-08-29 20:39:03,2023-04-17 20:31:33,The Man from Nowhere (2010),Action|Crime|Thriller,2010.0,The Man from Nowhere,4248,,2010,13.0
213,65,4.0307693,1.0188723970833937,4.0,65,1996-04-17 08:40:35,2022-05-15 11:59:14,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,1994.0,Burnt by the Sun (Utomlyonnye solntsem),9524,,1990,29.0
47491,33,4.030303,0.6242419645482274,4.0,33,2009-04-10 00:46:40,2023-01-03 22:53:17,Adam's Apples (Adams æbler) (2005),Comedy|Drama,2005.0,Adam's Apples (Adams æbler),5016,,2000,18.0
86000,20,4.025,0.7690561542703189,4.0,20,2012-05-13 06:57:43,2023-03-13 00:03:45,Boy (2010),Comedy|Drama,2010.0,Boy,3955,,2010,13.0
1111,62,4.024194,0.9162799851056638,4.0,62,1996-12-10 18:25:50,2020-01-17 04:47:58,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary,1996.0,Microcosmos (Microcosmos: Le peuple de l'herbe),8437,,1990,27.0
97024,22,4.0227275,0.5871089930302291,4.0,22,2013-01-03 18:25:59,2019-07-18 19:09:41,Rust and Bone (De rouille et d'os) (2012),Drama|Romance,2012.0,Rust and Bone (De rouille et d'os),2387,,2010,11.0
176423,26,4.019231,0.6241917851232782,4.0,26,2017-08-12 15:59:58,2023-06-18 05:38:17,Icarus (2017),Documentary,2017.0,Icarus,2135,,2010,6.0
7023,28,4.017857,0.6006500006496488,4.0,28,2004-01-24 21:19:29,2018-10-17 20:11:30,"Wedding Banquet, The (Xi yan) (1993)",Comedy|Drama|Romance,1993.0,"Wedding Banquet, The (Xi yan)",5379,,1990,30.0
208939,57,4.017544,0.906154119463434,4.0,57,2019-12-18 07:55:02,2023-07-18 05:34:57,Klaus (2019),Adventure|Animation|Children|Comedy,2019.0,Klaus,1307,,2010,4.0
581,63,4.015873,0.9200642244774757,4.0,63,1996-05-05 15:01:28,2022-01-24 13:33:02,"Celluloid Closet, The (1995)",Documentary,1995.0,"Celluloid Closet, The",9394,,1990,28.0
3728,32,4.015625,0.6284180727776281,4.0,32,2000-06-06 21:27:56,2019-10-23 02:32:10,One False Move (1992),Crime|Drama|Film-Noir|Thriller,1992.0,One False Move,7077,,1990,31.0
6591,43,4.0116277,0.7752754663514558,4.0,43,2003-09-06 02:01:31,2023-04-24 19:32:15,"Magdalene Sisters, The (2002)",Drama,2002.0,"Magdalene Sisters, The",7170,,2000,21.0
5446,82,4.006098,0.6689493440704232,4.0,82,2002-12-28 01:09:37,2019-10-25 11:36:52,Rabbit-Proof Fence (2002),Adventure|Drama,2002.0,Rabbit-Proof Fence,6145,,2000,21.0
5893,37,4.0,0.7264831572567788,4.0,37,2002-11-20 04:15:49,2023-02-01 12:39:51,"Last Seduction, The (1994)",Crime|Drama|Thriller,1994.0,"Last Seduction, The",7378,,1990,29.0
214,29,4.0,1.0177004891982149,4.0,29,1996-05-13 01:59:38,2016-01-18 00:29:37,Before the Rain (Pred dozhdot) (1994),Drama|War,1994.0,Before the Rain (Pred dozhdot),7188,,1990,29.0
1860,23,4.0,0.7833494518006403,4.0,23,1999-11-02 23:01:19,2016-02-04 21:11:32,Character (Karakter) (1997),Drama,1997.0,Character (Karakter),5937,,1990,26.0
58303,44,4.0,0.5705974021574557,4.0,44,2008-03-26 17:06:10,2021-06-09 17:52:41,"Counterfeiters, The (Die Fälscher) (2007)",Crime|Drama|War,2007.0,"Counterfeiters, The (Die Fälscher)",4823,,2000,16.0
51471,21,4.0,0.85146931829632,4.0,21,2007-03-25 21:51:05,2023-05-18 17:50:37,Amazing Grace (2006),Drama|Romance,2006.0,Amazing Grace,5897,,2000,17.0
60766,77,4.0,0.8660254037844388,4.0,77,2008-09-18 19:28:23,2023-03-15 00:08:32,Man on Wire (2008),Documentary,2008.0,Man on Wire,5290,,2000,15.0
223876,26,4.0,0.6782329983125267,4.0,26,2020-11-09 22:42:18,2023-07-14 01:57:48,My Octopus Teacher (2020),Documentary,2020.0,My Octopus Teacher,976,,2020,3.0
