tag,n_uses,avg_rating,rating_std,n_movies,n_users,is_positive,is_negative
feel-good,36,4.4444447,0.629940788348712,230,890,False,False
philosophical,93,4.4301076,0.6237657284305298,234,1462,False,False
single shot,12,4.4166665,0.5149286505444373,11,192,False,False
batman,12,4.4166665,0.6685579234215212,37,481,False,False
great cinematography,18,4.4166665,0.6002450479987811,80,479,True,False
ethan hawke,11,4.409091,0.5393598899705938,36,194,False,False
harrison ford,22,4.409091,0.6480072684109489,42,585,False,False
intense,68,4.404412,0.5481131334165467,263,1142,False,False
stanley kubrick,26,4.4038463,0.8833938053804856,21,591,False,False
thought-provoking,225,4.402222,0.7066296037001257,396,2829,False,False
noir thriller,10,4.4,0.699205898780101,39,259,False,False
mindfuck,132,4.3977275,0.5687089851451897,200,1878,False,False
al pacino,34,4.397059,0.5874883849877746,45,534,False,False
high fantasy,14,4.392857,0.6557019558801507,25,230,False,False
christopher nolan,42,4.392857,0.5899122949044566,12,717,False,False
self discovery,22,4.3863635,0.7548544196102948,112,390,False,False
anti-war,13,4.3846154,0.5828752780343233,74,333,False,False
cerebral,30,4.383333,0.6654442816299672,121,586,False,False
clever,46,4.380435,0.6598382176184946,191,1107,False,False
quentin tarantino,57,4.377193,0.9509426796342011,20,1179,False,False
classic,165,4.3757577,0.6612212938258424,663,2330,False,False
smart,28,4.375,0.5713045500334201,141,564,False,False
reflective,32,4.375,0.8890008890013333,117,550,False,False
treasure,12,4.375,0.5690901829794961,124,203,False,False
underrated,12,4.375,0.5690901829794961,233,250,False,False
complicated plot,12,4.375,0.5276448530110863,24,314,False,False
heartwarming,47,4.37234,0.7332779672425003,235,989,False,False
edward norton,27,4.3703704,0.6138245895861675,28,642,False,False
intelligent,69,4.369565,0.6894806971290457,207,1296,False,False
highly quotable,19,4.368421,0.7234582315970267,49,328,False,False
environmental,18,4.361111,0.5637468026661788,75,305,False,False
emotional,97,4.3505154,0.6001950570682913,407,1309,False,False
unlikely friendships,10,4.35,0.7472170590486632,60,208,False,False
historical,50,4.35,0.7840892285750053,350,1053,False,False
social satire,10,4.35,0.5797509043642027,98,220,False,False
morgan freeman,40,4.35,0.8929926637077695,59,824,False,False
twists & turns,43,4.3488374,0.7281326713957637,99,781,False,False
scenic,13,4.3461537,0.8752289077867809,83,383,False,False
russell crowe,16,4.34375,0.7004462863060952,36,404,False,False
original plot,32,4.34375,0.640532792341279,73,630,False,False
mathematics,22,4.340909,0.5852627337636215,58,625,False,False
twist ending,260,4.3403845,0.6950624580653315,471,2854,False,False
feel good movie,28,4.339286,0.7335046697391236,77,569,False,False
epic,62,4.33871,0.8335888908336085,307,1033,False,False
fun,37,4.3378377,0.6129851146241243,365,709,False,False
philosophy,79,4.335443,0.8232266059783612,226,1332,False,False
meaning of life,18,4.3333335,0.747545001596402,126,393,False,False
quotable,24,4.3333335,0.7172815023567725,149,462,False,False
heroism,12,4.3333335,0.6513389472789296,186,202,False,False
david fincher,12,4.3333335,0.6513389472789297,10,312,False,False
dreams,24,4.3333335,0.6370220572706061,114,607,False,False
genius,24,4.3333335,0.5450701324374344,139,571,False,False
psychological,153,4.3267975,0.8056548934634113,407,1991,False,False
dreamlike,101,4.3267326,0.6979815311466215,255,1402,False,False
beautiful,59,4.322034,0.808162623744318,329,1231,True,False
great performances,28,4.321429,0.6967422302758284,59,514,True,False
michael caine,14,4.321429,0.6963405128887087,55,334,False,False
studio ghibli,39,4.320513,0.5791007035320446,30,562,False,False
great soundtrack,168,4.3184524,0.6908850421245369,451,2028,True,False
thrilling,11,4.318182,0.716684284490991,55,193,False,False
visuals,11,4.318182,0.6030226891555274,54,260,False,False
tarantino,11,4.318182,0.9293203772845852,18,304,False,False
sentimental,19,4.3157897,1.0568628408301075,123,477,False,False
inspiring,27,4.314815,0.7862783338192769,185,460,False,False
honest,16,4.3125,0.5737304826019501,49,213,False,False
enigmatic,24,4.3125,0.7042186542853562,96,390,False,False
great story,13,4.3076925,0.596463939202724,53,236,True,False
innovative,13,4.3076925,0.5964639392027239,41,261,False,False
poignant,13,4.3076925,0.7227972727092274,148,275,False,False
cinematography,168,4.3065476,0.6766543161667642,813,2017,False,False
psychology,170,4.3058825,0.7361908906644996,339,2258,False,False
creative,25,4.3,0.7637626158259734,160,396,False,False
akira kurosawa,10,4.3,0.42163702135578396,34,174,False,False
sniper,10,4.3,0.5868938953886336,211,173,False,False
jason statham,12,4.2916665,0.7525210155124432,40,225,False,False
androids,14,4.285714,0.6712298045747453,64,293,False,False
jane austen,16,4.28125,0.6046693311223912,29,161,False,False
meditative,18,4.2777777,0.6691131580686884,93,289,False,False
memory,31,4.274194,0.7728595137261296,396,511,False,False
exciting,11,4.2727275,0.6466697906828632,78,223,False,False
erotic,11,4.2727275,0.8474560862851939,132,442,False,False
hallucinatory,33,4.2727275,0.8205458272061683,95,552,False,False
anime,60,4.266667,0.6917594043063873,435,859,False,False
psychedelic,23,4.2608695,0.7209457995229617,99,422,False,False
tom hanks,51,4.254902,0.8329018490771156,57,913,False,False
vietnam war,16,4.25,0.7071067811865476,144,371,False,False
realism,14,4.25,0.6722522420364822,107,352,False,False
joseph gordon-levitt,16,4.25,0.9309493362512627,26,316,False,False
bd-video,10,4.25,0.485912657903775,706,10,False,False
underdog,10,4.25,0.5400617248673217,162,179,False,False
atmospheric,344,4.247093,0.7852449303566955,868,2974,False,False
stylized,157,4.245223,0.8038725071029458,524,1793,False,False
witty,64,4.234375,0.7125226256502258,344,1193,False,False
touching,62,4.233871,0.7505066154265717,274,1140,False,False
ending,15,4.233333,0.6778818551368739,222,321,False,False
sacrifice,15,4.233333,0.7286647932708024,244,186,False,False
suspense,143,4.230769,0.7114981980350693,1210,1699,False,False
treasure hunt,11,4.2272725,0.6842381297339533,108,272,False,False
alternate reality,97,4.2268043,0.743095365111023,199,1399,False,False
existentialism,40,4.225,0.8544753976143521,183,783,False,False
surreal,274,4.2226276,0.8810576977551561,774,2777,False,False
nostalgia,18,4.2222223,0.7519039015221181,199,273,False,False
mystery,118,4.220339,0.7147480964460948,771,1670,False,False
jake gyllenhaal,21,4.214286,0.7171371656006361,34,410,False,False
wizards,21,4.214286,0.6627863262664027,30,256,False,False
leonardo dicaprio,56,4.214286,0.8573592800366339,29,1001,False,False
sweet,19,4.2105265,0.8218507142366114,208,352,False,False
good cinematography,12,4.2083335,1.0326121628122917,46,186,False,False
dvd-video,12,4.2083335,0.4981024599478111,953,12,False,False
psychothriller,12,4.2083335,0.5418123347254158,19,366,False,False
narrated,24,4.2083335,0.7649476632660772,217,429,False,False
woody allen,12,4.2083335,0.541812334725416,60,319,False,False
off-beat comedy,17,4.2058825,0.6138715136688766,32,357,False,False
dark comedy,219,4.2054796,0.7847556291684851,780,2621,False,False
alfred hitchcock,22,4.2045455,0.6841590407745798,51,313,False,False
quirky,185,4.2027025,0.7018943646856262,579,1899,False,False
christoph waltz,10,4.2,0.7149203529842405,10,230,False,False
paranoid,10,4.2,0.7888106377466156,58,231,False,False
storytelling,25,4.2,0.8897565210026093,211,509,False,False
gary oldman,18,4.1944447,0.8768071907056891,42,332,False,False
uma thurman,13,4.1923075,1.0515556241917163,36,307,False,False
stand-up comedy,13,4.1923075,0.4348592463114522,515,195,False,False
wes anderson,21,4.1904764,0.6977856131397105,14,432,False,False
anthony hopkins,21,4.1904764,0.6796357567879738,47,441,False,False
social commentary,185,4.189189,0.8401551952207429,761,2034,False,False
computers,30,4.1833334,0.7483698759733503,58,568,False,False
musicians,11,4.181818,0.6030226891555274,282,247,False,False
film noir,44,4.181818,0.8289171213579426,436,566,False,False
uplifting,14,4.178571,0.7747739833491605,72,272,False,False
artistic,14,4.178571,0.8684013352827591,95,479,False,False
joaquin phoenix,14,4.178571,0.6078696361108149,32,322,False,False
peter jackson,14,4.178571,0.46439136583203255,17,185,False,False
imdb top 250,71,4.1760564,1.0110058341971546,328,657,False,False
bittersweet,106,4.1698112,0.7524145021919202,300,1376,False,False
pixar,56,4.169643,0.8489393688291598,74,880,False,False
adolescence,12,4.1666665,0.5773502691896256,132,173,False,False
investigative journalism,15,4.1666665,0.6986381310057719,35,163,False,False
history,67,4.1641793,0.9862235121514787,811,1101,False,False
ensemble cast,52,4.1634617,0.8148207660857972,304,605,False,False
good acting,43,4.162791,0.7047536738916569,319,749,False,False
oscar nominee: best picture,25,4.16,0.6726812023536856,405,282,False,False
unusual,13,4.1538463,0.5547001962252291,68,211,False,False
submarine,13,4.1538463,0.5910659644734878,131,205,False,False
physics,13,4.1538463,0.9216067351961869,39,391,False,False
characters,13,4.1538463,0.9870962335856491,229,216,False,False
slow burn,10,4.15,0.914391114956347,88,152,False,False
rebellion,10,4.15,0.7472170590486631,167,256,False,False
scarlett johansson,34,4.147059,0.7836338407923292,42,585,False,False
visually appealing,252,4.144841,0.8216766787160209,538,2806,False,False
fantasy world,46,4.1413045,0.8476309697442427,126,601,False,False
plot twist,71,4.1408453,0.8871426789399665,313,1319,False,False
christian bale,36,4.138889,0.9681433712532391,39,718,False,False
whimsical,37,4.135135,0.8135027884320905,137,666,False,False
samurai,15,4.133333,0.39940431835899015,160,317,False,False
harry potter,15,4.133333,0.6935073041809876,20,230,False,False
dark hero,20,4.125,0.9158688713313082,123,456,False,False
science,20,4.125,0.6256575488404601,284,607,False,False
big budget,12,4.125,0.6077155435054972,94,189,False,False
thriller,177,4.121469,0.8681171438518015,1109,2011,False,False
tense,91,4.120879,0.7650005785787911,447,1252,False,False
keira knightley,25,4.12,0.7257180352359079,31,348,False,False
british comedy,21,4.1190476,0.8500700251267819,68,571,False,False
dark,157,4.1178346,0.9183669441971563,580,2044,False,False
nostalgic,17,4.117647,0.6257348620998023,175,405,False,False
charming,13,4.1153846,0.6817210498023293,81,238,False,False
artificial intelligence,79,4.113924,0.9639308115950833,186,1469,False,False
childhood,18,4.111111,0.8323523637957304,252,366,False,False
revolution,18,4.111111,1.0921586228732252,220,309,False,False
beautiful scenery,18,4.111111,0.8323523637957303,100,593,True,False
suspenseful,45,4.111111,0.6647700293478881,143,686,False,False
oscar (best cinematography),14,4.107143,1.0593643128087462,111,335,False,False
viggo mortensen,14,4.107143,0.7119467198239853,22,192,False,False
multiple storylines,59,4.101695,1.1094409162717218,149,1034,False,False
mind bending,10,4.1,1.1254628677422756,38,282,False,False
biographical,10,4.1,0.6992058987801011,133,232,False,False
benedict cumberbatch,10,4.1,0.45946829173634074,27,237,False,False
sexy,10,4.1,1.3703203194062976,157,198,False,False
18th century,10,4.1,1.3703203194062976,101,159,False,False
dark humor,70,4.1,0.849552311770607,210,1151,False,False
visually stunning,71,4.0985913,0.9434727579906176,223,1322,False,False
organized crime,56,4.098214,1.0287664407485255,295,840,False,False
true story,107,4.0981307,0.9891850379594662,534,1461,False,False
brad pitt,47,4.0957446,0.7846232678970457,49,912,False,False
business,16,4.09375,0.5543389456520863,250,290,False,False
heartbreaking,16,4.09375,0.6884463184107628,73,351,False,False
stylish,27,4.0925927,0.8090478382385089,136,589,False,False
politics,60,4.0916667,0.7729081482619508,879,930,False,False
rock and roll,11,4.090909,0.7006490497453707,205,275,False,False
literary adaptation,11,4.090909,0.7687061147858071,75,83,False,False
cult film,122,4.0901637,1.0543424441007418,1317,1390,False,False
political,23,4.0869565,0.7635469550519928,193,491,False,False
humorous,46,4.0869565,0.8518238460704769,284,938,False,False
satire,122,4.086066,0.8249533494218902,790,1599,False,False
nature,24,4.0833335,1.0390910185963191,302,471,False,False
alternate history,12,4.0833335,0.5573204290227127,64,277,False,False
san francisco,12,4.0833335,0.6336522323129237,168,166,False,False
first contact,12,4.0833335,0.7637626158259733,34,247,False,False
steven spielberg,37,4.081081,1.030867444285485,48,669,False,False
redemption,32,4.078125,0.8808845902218535,446,373,False,False
jack nicholson,27,4.0740743,0.7684112443580198,46,505,False,False
funny,299,4.0719066,0.7819353321626519,1633,2808,False,False
philip k. dick,14,4.071429,0.9376144618769908,15,264,False,False
black comedy,154,4.071429,0.9708640640235509,768,1723,False,False
romantic,28,4.071429,1.0427375447837233,236,593,False,False
war,70,4.071429,1.0365973960466444,841,1274,False,False
simon pegg,23,4.0652175,1.003452538014345,29,310,False,False
bd-r,31,4.064516,0.4956802646174071,3948,13,False,False
music,119,4.063025,0.9534829592585038,1165,1681,False,False
science fiction,56,4.0625,0.8093909045471392,302,1167,False,False
neo-noir,40,4.0625,0.892902929228951,264,671,False,False
visceral,16,4.0625,1.0144785195688801,111,258,False,False
soundtrack,75,4.06,0.9003002502168598,751,1073,False,False
kevin spacey,19,4.0526314,1.0787690624311024,37,585,False,False
melancholic,19,4.0526314,0.7798635358208026,64,342,False,False
tension,10,4.05,0.864420165325996,149,328,False,False
orlando bloom,10,4.05,0.4972144630058765,15,125,False,False
imagination,20,4.05,0.9162279651978139,118,581,False,False
dialogue driven,32,4.046875,0.8647148980089968,164,486,False,False
wilderness,11,4.0454545,1.0112997936948633,188,295,False,False
netflix,11,4.0454545,1.2738631295108878,531,171,False,False
unexpected ending,11,4.0454545,0.7229988054812212,51,258,False,False
time loop,35,4.042857,0.9185300642829262,96,724,False,False
rachel mcadams,12,4.0416665,0.8106768589869637,22,235,False,False
morality,13,4.0384617,1.2493588099090813,178,297,False,False
robert de niro,26,4.0384617,0.8236877675803729,66,641,False,False
dialogue,66,4.037879,1.0126530503910016,415,811,False,False
futuristic,54,4.037037,0.9850383186294903,152,953,False,False
space travel,41,4.0365853,0.8320925722421081,213,791,False,False
based on book,14,4.035714,1.232013450761453,227,244,False,False
clint eastwood,29,4.034483,0.7310832774866963,64,438,False,False
original,58,4.034483,0.8317286425182427,288,939,False,False
cloning,15,4.0333333,0.875595035770913,51,188,False,False
disturbing,151,4.0331125,1.0640627709745096,479,1741,False,False
genetics,16,4.03125,0.8459462157844315,53,313,False,False
realistic,34,4.029412,0.9687634767046035,351,912,False,False
adventure,192,4.028646,0.7962360666970879,736,2015,False,False
justice,18,4.0277777,0.7370893118169405,197,318,False,False
love,56,4.026786,0.9215581807566358,1718,882,False,False
identity,19,4.0263157,0.9200495791370024,155,231,False,False
gritty,38,4.0263157,0.9000553167764013,251,603,False,False
robin williams,22,4.0227275,0.7939844176123707,56,557,False,False
psychological thriller,22,4.0227275,0.823425954795149,213,538,False,False
tragedy,24,4.0208335,0.6833289147966018,407,358,False,False
samuel l. jackson,28,4.017857,0.9572543960912266,80,602,False,False
gothic,29,4.0172415,0.9863601796204505,248,476,False,False
coen brothers,29,4.0172415,0.6612050500613262,25,627,False,False
mental illness,76,4.013158,0.9660009807121536,618,1221,False,False
sci-fi,395,4.005063,0.9485359723847712,855,4130,False,False
prison escape,19,4.0,1.3123346456686353,132,408,False,False
johnny depp,46,4.0,0.8881941729649483,60,737,False,False
transgender,10,4.0,0.9428090415820634,108,221,False,False
unique,26,4.0,0.8,170,575,False,False
military,35,4.0,0.8224783208299743,547,562,False,False
roman polanski,12,4.0,0.9045340337332909,23,174,False,False
cult classic,42,4.0,0.8624977907359476,226,696,False,False
strong female lead,58,4.0,0.8785953702139591,313,811,False,False
kung fu,11,4.0,0.8366600265340757,306,324,False,False
steve buscemi,14,4.0,0.8320502943378435,33,252,False,False
daniel day-lewis,10,4.0,0.9428090415820632,16,203,False,False
jim carrey,27,4.0,0.8548504142651102,35,584,False,False
emma thompson,12,4.0,0.674199862463242,33,140,False,False
oscar (best picture),32,4.0,1.2763354802184714,100,612,False,False
nudity (rear),14,4.0,0.8086075400626399,160,172,False,False
woody harrelson,10,4.0,0.9128709291752768,43,301,False,False
world war ii,75,4.0,0.8776504260070009,745,1192,False,False
hilarious,47,3.9893618,0.8372403017349402,318,882,False,False
satirical,43,3.988372,1.0991791964321944,195,756,False,False
relationships,29,3.9827585,0.8071417672951358,316,627,False,False
oscar (best directing),23,3.9782608,1.3097385310674974,94,283,False,False
george clooney,22,3.9772727,0.6070473568894716,34,441,False,False
betamax,22,3.9772727,0.545048550202569,1080,22,False,False
controversial,22,3.9772727,0.8518505447843246,145,509,False,False
sexuality,38,3.9736843,0.9440236513660816,493,685,False,False
holocaust,19,3.9736843,1.1114765480922502,146,423,False,False
jazz,18,3.9722223,0.7567776544670526,167,273,False,False
german,18,3.9722223,0.812986907900921,307,195,False,False
melancholy,17,3.9705882,1.217972036769704,167,529,False,False
time travel,153,3.9705882,1.061024973225442,598,1980,False,False
surprise ending,34,3.9705882,0.9842792815557084,745,567,False,False
erlend's dvds,16,3.96875,0.49895724599742314,731,8,False,False
imaginative,15,3.9666667,1.1567606658662104,55,441,False,False
alan rickman,15,3.9666667,0.6935073041809877,28,246,False,False
will ferrell,15,3.9666667,1.0258562045340238,36,340,False,False
drama,149,3.966443,0.9544781182104555,2106,1595,False,False
arnold schwarzenegger,28,3.9642856,1.026758396231949,37,380,False,False
willem dafoe,14,3.9642856,1.0463174565017157,49,286,False,False
lovecraftian,14,3.9642856,0.9499855406649763,69,205,False,False
gangster,13,3.9615386,1.40625890310572,601,307,False,False
africa,13,3.9615386,0.32025630761017426,341,301,False,False
buddy movie,13,3.9615386,0.8281892512568828,112,248,False,False
good vs evil,13,3.9615386,0.6602252917735246,114,268,False,False
seen more than once,26,3.9615386,0.6621642835894568,500,211,False,False
assassination,13,3.9615386,0.8770580193070291,293,220,False,False
tilda swinton,12,3.9583333,0.7821396449755148,32,178,False,False
mythology,24,3.9583333,0.7928576091618199,195,468,False,False
magic,106,3.9575472,0.9439479518750259,570,1094,False,False
friendship,116,3.9568965,0.8933789436915808,1856,1395,False,False
japan,46,3.9565217,0.7440585920515919,579,720,False,False
love story,33,3.9545455,0.8511356050488182,307,727,False,False
queer,11,3.9545455,0.8201995322647243,226,312,False,False
bank robbery,11,3.9545455,0.7891307069980692,218,236,False,False
mel gibson,22,3.9545455,1.0455015987905487,43,336,False,False
french,42,3.952381,0.8468703057436188,754,522,False,False
mad scientist,10,3.95,0.9264628073124864,228,179,False,False
nyc,10,3.95,0.83166499665831,139,37,False,False
unconventional,10,3.95,0.5502524673073059,38,139,False,False
cyberpunk,52,3.9423077,0.9110102459220545,160,935,False,False
a24,17,3.9411764,1.1843029719678004,108,207,False,False
documentary,59,3.940678,0.8513920941343139,1202,952,False,False
mother daughter relationship,16,3.9375,0.7719024117939607,767,184,False,False
bill murray,21,3.9285715,0.9392246042043708,47,620,False,False
journalism,35,3.9285715,1.0581814112710846,208,444,False,False
based on a play,14,3.9285715,0.85163062725264,288,206,False,False
disability,14,3.9285715,0.7300459115473716,162,245,False,False
pirates,27,3.925926,0.8627293864833829,62,354,False,False
clv,20,3.925,0.5910516942393093,1357,9,False,False
obsession,20,3.925,1.0671531237239034,498,426,False,False
amy adams,13,3.9230769,0.8623164985025763,32,257,False,False
john carpenter,13,3.9230769,0.9093531090412992,18,143,False,False
coming of age,136,3.922794,0.9126247788264926,1096,1512,False,False
ai,12,3.9166667,0.9962049198956219,69,290,False,False
jodie foster,18,3.9166667,0.7326422768871265,27,310,False,False
period piece,18,3.9166667,0.844532589138896,394,326,False,False
future,65,3.9153845,0.8411730591172161,446,1046,False,False
romance,194,3.9123712,0.8990792909362436,1868,2086,False,False
anti-hero,34,3.9117646,0.8480868687218285,137,693,False,False
sean connery,17,3.9117646,0.9054573105213026,42,285,False,False
criterion,28,3.9107144,0.9723355942967986,1468,278,False,False
sarcasm,11,3.909091,1.044465935734187,80,242,False,False
lawyer,11,3.909091,0.43693144875265144,476,129,False,False
christopher walken,11,3.909091,0.9170109546287281,54,219,False,False
hitman,16,3.90625,0.9868932735272511,321,338,False,False
stephen king,32,3.90625,1.1530989102302514,64,540,False,False
entertaining,16,3.90625,0.6381940666181931,178,348,False,False
investigation,41,3.902439,0.9824682704489872,675,515,False,False
freedom,10,3.9,0.8432740427115678,158,265,False,False
70mm,10,3.9,0.39440531887330776,393,63,False,False
keanu reeves,24,3.8958333,1.334974081059797,52,518,False,False
happy ending,19,3.8947368,0.5158312430873386,197,449,False,False
based on a true story,118,3.8940678,0.9867751476124289,887,1434,False,False
animation,135,3.8925927,0.9129768947747153,825,1535,False,False
road trip,36,3.8888888,1.1282800507922996,399,656,False,False
action,334,3.8877246,0.9137581550618247,1308,2941,False,False
virtual reality,35,3.8857143,1.0224373581107569,91,662,False,False
grim,13,3.8846154,1.4016931153942327,61,225,False,False
bechdel test:pass,13,3.8846154,0.8697184926229041,372,282,False,False
scary,26,3.8846154,0.8283440385213419,180,391,False,False
weird,60,3.8833334,0.9449538894080202,390,898,False,False
loneliness,51,3.8823528,1.0079098932648576,429,853,False,False
drugs,89,3.8820224,1.1481765976927396,1102,1313,False,False
interesting,25,3.88,1.0132456102380443,224,480,False,False
feel good,12,3.875,0.48265364958171136,90,172,False,False
animals,12,3.875,1.0252494153309055,179,262,False,False
mafia,36,3.875,1.0648608225625409,343,777,False,False
fantasy,187,3.8716578,1.0157887609976404,773,2155,False,False
ghosts,23,3.8695652,0.8148813536665075,219,442,False,False
space,128,3.8671875,0.8906433466130772,328,2011,False,False
hackers,15,3.8666666,0.8957571949925673,43,344,False,False
cute,30,3.8666666,0.8801776205279028,282,612,False,False
western,37,3.8648648,0.8791461186275566,248,602,False,False
matt damon,33,3.8636363,0.8950622121597827,48,695,False,False
archaeology,11,3.8636363,1.050973574618056,32,225,False,False
fashion,11,3.8636363,1.026910636104941,150,221,False,False
hero,11,3.8636363,0.8393720596645177,436,90,False,False
irreverent,11,3.8636363,1.1638494123147782,129,270,False,False
art,11,3.8636363,1.2667065384474236,315,319,False,False
goofy,14,3.857143,0.9492622930986465,153,232,False,False
oscar (best actor),14,3.857143,1.0994504121565505,82,267,False,False
denzel washington,14,3.857143,0.6913913349341152,44,380,False,False
comedy,336,3.8556547,1.013710865711145,2306,3030,False,False
technology,31,3.8548386,0.9503819266229829,234,648,False,False
adapted from:book,24,3.8541667,0.7728992097329361,642,333,False,False
cynical,24,3.8541667,1.2289901003127188,140,391,False,False
dystopia,211,3.8530805,0.9866863679588694,454,2011,False,False
family,98,3.8520408,0.9823419934683061,1353,1037,False,False
sad,27,3.851852,1.0173004889904875,417,589,False,False
dvd,16,3.84375,0.907721506483863,464,41,False,False
jennifer lawrence,16,3.84375,0.7465197027987048,21,312,False,False
biography,38,3.8421052,1.0007109848036473,1040,594,False,False
brutal,19,3.8421052,1.1791314079410244,131,451,False,False
apocalypse,38,3.8421052,0.9802458541438188,254,647,False,False
horror,123,3.8414633,1.018913502761425,1075,1542,False,False
dysfunctional family,22,3.840909,1.095296911652418,343,383,False,False
lesbian,25,3.84,1.087044923941355,519,552,False,False
serial killer,78,3.8397436,1.0144846741962907,840,1056,False,False
insanity,28,3.8392856,1.0891176468486996,407,546,False,False
homosexuality,31,3.8387096,0.9607904451907775,437,495,False,False
adultery,15,3.8333333,0.9759000729485332,673,280,False,False
racism,54,3.8333333,1.0728203000626035,596,719,False,False
medieval,18,3.8333333,0.7475450015964021,105,382,False,False
deadpan,18,3.8333333,0.5423261445466404,92,272,False,False
isolation,21,3.8333333,1.0645812948447542,266,450,False,False
based on novel,12,3.8333333,1.0075472768815938,1041,57,False,False
robots,47,3.8297873,1.1290463258522407,163,795,False,False
bruce willis,44,3.8295455,0.9520063380320934,68,679,False,False
special effects,38,3.8289473,0.8642784507311824,236,615,False,False
philip seymour hoffman,20,3.825,1.0294991117298895,37,310,False,False
parallel universe,14,3.8214285,0.799209774550001,59,332,False,False
nazis,28,3.8214285,0.9738648255341694,228,542,False,False
80s,11,3.8181818,1.2302992983970864,147,232,False,False
ellen page,19,3.8157895,1.2271299659027053,17,255,False,False
culture clash,19,3.8157895,1.120646221256456,188,251,False,False
prison,32,3.8125,1.1760376338064324,817,613,False,False
heist,50,3.81,1.1378909958196113,394,822,False,False
end of the world,21,3.8095238,0.749603069567329,167,383,False,False
undercover cop,13,3.8076923,1.071184343348939,112,207,False,False
marvel cinematic universe,31,3.8064516,1.085337269814002,43,332,False,False
ryan gosling,23,3.8043478,1.0843843082889206,22,412,False,False
india,10,3.8,0.5868938953886336,281,308,False,False
dreamworks,10,3.8,1.1352924243950933,40,163,False,False
tommy lee jones,10,3.8,1.1595018087284057,37,217,False,False
martin scorsese,22,3.7954545,1.0982571789744109,37,576,False,False
father-son relationship,39,3.7948718,0.8328608647145149,378,573,False,False
video games,17,3.7941177,0.8112263773411942,55,331,False,False
parent child relationship,12,3.7916667,0.7525210155124433,661,96,False,False
berlin,12,3.7916667,1.075730900224108,131,165,False,False
body horror,12,3.7916667,0.8382431122004613,136,255,False,False
mentor,12,3.7916667,1.2146517146403688,111,228,False,False
religion,60,3.7916667,1.0628219020514331,802,839,False,False
jude law,12,3.7916667,0.8106768589869641,43,291,False,False
black and white,45,3.788889,1.0739100652674918,699,757,False,False
based on a book,215,3.788372,0.8784037408434925,1719,1611,False,False
crime,118,3.7881355,1.168326254890984,1062,1333,False,False
fairy tale,46,3.7826087,1.1530258449114732,276,640,False,False
space opera,23,3.7826087,1.1853853128501923,83,405,False,False
stop motion,16,3.78125,0.8749999999999999,163,327,False,False
gay,48,3.78125,1.0048089158873983,873,638,False,False
creepy,43,3.7790697,1.0762718145645807,311,788,False,False
addiction,20,3.775,0.8656454847471671,197,348,False,False
female lead,11,3.7727273,1.5060484116328459,155,270,False,False
capitalism,11,3.7727273,1.232145209860355,183,215,False,False
oscar (best actress),11,3.7727273,0.9317627477967867,92,167,False,False
natalie portman,24,3.7708333,0.9777877277710689,33,551,False,False
action packed,24,3.7708333,0.779899194526567,107,329,False,False
paranoia,37,3.7702703,1.0966780305553232,487,448,False,False
male nudity,13,3.7692308,0.8807048459279793,717,242,False,False
female protagonist,15,3.7666667,1.26585186826143,663,340,False,False
violence,137,3.7627738,1.1148731990198069,2328,1508,False,False
